airtemperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,type_l,type_m,target
302.0,310.9,1456,47.2,54,False,True,0
297.0,308.3,1399,46.4,132,False,True,0
301.0,311.6,1357,45.6,137,False,True,0
298.9,309.8,1411,56.3,84,True,False,0
297.1,308.5,1733,28.7,50,True,False,0
298.3,308.9,1706,31.8,8,False,False,0
300.7,311.0,1263,52.3,104,False,True,0
297.6,309.0,1413,40.2,51,False,False,0
303.9,313.2,1608,40.6,79,False,True,0
297.3,308.6,1431,42.0,109,False,False,0
298.9,310.1,1466,42.5,187,True,False,0
297.9,308.6,1691,29.6,116,True,False,0
299.2,310.7,1540,36.3,175,True,False,0
298.4,308.4,1515,40.1,179,True,False,0
300.4,309.8,1421,47.2,0,False,True,0
298.7,309.9,1617,33.0,203,True,False,0
297.7,308.7,1249,60.4,143,True,False,0
298.9,310.0,1564,33.8,183,True,False,0
298.1,308.7,1568,32.9,10,True,False,0
304.1,313.2,1434,50.1,43,True,False,0
302.5,311.1,1571,34.2,201,True,False,0
299.2,308.8,1908,21.3,104,False,False,0
299.6,310.2,1468,48.0,9,True,False,0
301.0,312.2,1489,40.3,117,False,False,0
299.1,310.5,1389,61.4,64,True,False,0
302.4,310.2,1351,45.1,168,True,False,1
299.1,310.5,1532,36.6,62,True,False,0
300.6,309.6,1726,30.0,147,True,False,0
301.7,311.2,1589,37.9,75,True,False,0
296.8,307.5,1347,54.8,43,True,False,0
300.7,311.8,1486,47.3,19,True,False,0
299.6,311.0,1430,38.3,124,True,False,0
297.1,308.3,1403,54.1,179,True,False,0
300.7,310.6,1520,45.9,146,True,False,0
298.9,308.2,1372,63.6,30,False,True,1
298.7,309.8,1354,53.3,212,True,False,1
299.7,309.1,1347,55.3,139,True,False,0
300.7,309.5,1508,39.9,59,True,False,0
303.0,312.8,1648,32.1,104,False,True,0
300.4,311.7,1832,24.2,179,False,True,0
302.0,311.1,1406,48.8,159,False,True,0
298.3,308.1,1326,58.4,90,True,False,0
298.9,310.3,1456,44.1,118,True,False,0
298.0,308.5,1702,26.7,203,True,False,0
302.6,311.4,1738,25.8,128,True,False,0
297.1,308.2,1347,50.8,49,True,False,0
303.8,312.7,1664,29.3,178,True,False,0
298.6,309.8,1637,34.6,207,True,False,0
301.6,311.1,1907,21.5,102,True,False,0
302.3,311.2,1505,36.7,78,False,True,0
298.2,309.0,1410,47.6,76,False,True,0
296.8,307.9,1709,28.4,118,True,False,0
297.2,308.3,1776,28.0,43,False,True,0
300.2,310.2,1600,31.5,23,True,False,0
301.0,310.7,1391,45.0,123,True,False,0
298.7,309.3,1402,45.3,190,False,False,0
298.1,307.9,1496,40.0,0,False,True,0
301.5,310.3,1415,41.6,28,True,False,0
301.1,311.1,1711,29.1,170,True,False,0
296.8,307.8,1664,32.8,142,False,True,0
298.2,308.4,1477,49.9,72,True,False,0
297.4,309.0,1520,37.0,147,False,True,0
298.9,308.9,1487,39.5,30,False,True,0
299.3,309.1,1551,39.1,147,True,False,0
298.3,308.2,1663,28.4,67,True,False,0
301.0,311.0,1423,38.6,199,False,True,0
301.5,311.1,1434,49.6,129,True,False,0
300.5,311.6,1476,39.1,199,False,True,0
300.6,310.0,1425,49.5,174,True,False,0
301.3,310.8,1455,41.2,56,False,True,0
297.2,308.4,1863,26.0,110,False,True,0
298.8,308.8,1523,44.4,55,True,False,0
300.4,310.0,1769,26.1,38,True,False,0
301.6,311.1,1408,44.4,106,True,False,0
298.7,309.6,1424,50.4,32,False,True,0
301.5,310.7,1435,38.5,224,True,False,0
298.0,308.1,1552,36.6,190,False,True,0
302.2,311.6,1592,37.7,79,False,True,0
300.6,310.4,1494,47.3,118,True,False,0
297.5,309.4,1433,48.3,139,False,True,0
297.3,308.7,1491,40.2,112,True,False,0
